index,original,translated,locale_convention_annotation
382,"Der Gegner wird durch langsam fahrende Kettenfahrzeuge und schnelle Super-Panzer, sowie flinke Raketen dargestellt, die, während des erweiterten Spielablaufs, immer schwieriger zu treffen sind. Zusätzlich erscheinen noch in periodischen Abständen UFO's. Diese können den Spieler-Panzer nicht angreifen. Umgekehrt kann der Spieler aber durch einen UFO-Treffer eine hohe Punktzahl erreichen. Das Gerät BATTLEZONE besitzt fünf (5) verschiedene Betriebsarten. Diese sind der Attraktions-Ablauf, der Spieleinleitungs-Ablauf, der Spiel-Abl auf, die Initialeneingabe für Höchstergebnisse und der Selbsttest-Ablauf. Letztere Betriebsart stellt einen speziellen Ablauf fUr die Überprüfung der Bedienelemente und der Computerfunktion dar.","The opponent is represented by slow-moving tracked vehicles and fast super-tanks, as well as nimble missiles that become increasingly difficult to hit during extended gameplay. Additionally, UFOs appear at periodic intervals. These cannot attack the player's tank. Conversely, the player can achieve a high score by hitting a UFO. The BATTLEZONE device has five (5) different operating modes. These are the attract mode sequence, the game introduction sequence, the game sequence, the initials entry for high scores, and the self-test sequence. The latter operating mode represents a special sequence for checking the controls and the computer function.","```
MQM annotations:
```"
384,"Der Spielablauf wird ausgelöst, wenn der Druckschalter START betätigt wird. Der LED-Schalter bleibt erleuchtet und die Spielgeräusche werden hörbar. Wird der letzte Spieler-Panzer vom feindlichen Angreifer eliminiert, ist ein Spiel beendet. Das Spiel beginnt mit langsam fahrenden Panzern, die auf dem Bildschirm sichtbar werden. Die Position der jeweiligen feindlichen Panzer oder Raketen kann der Spieler dadurch bestimmen, dass er den eingeblendeten Text im oberen linken Hinweisdisplay-Winkel seines Cockpits beachtet. Ein Hinweis kann z.B. lauten: GEGNER VON RECHTS. Zusätzlich wird auf dem weitreichenden Radarschirm, begleitet von einem Sonar-BLIP-Ton, ein Punkt sichtbar, der die feindliche Stellung darstellt.","The game begins when the START pressure switch is activated. The LED switch remains illuminated, and game sounds become audible. A game ends when the last player tank is eliminated by the enemy attacker. The game starts with slowly moving tanks becoming visible on the screen. The player can determine the position of enemy tanks or missiles by paying attention to the displayed text in the upper left corner of their cockpit's heads-up display. A hint might be, for example: ENEMY FROM THE RIGHT. Additionally, a dot representing the enemy's position becomes visible on the long-range radar screen, accompanied by a sonar BLIP sound.","locale conventions:

MQM annotations:"
385,"Die obere, kegelförmige Fläche auf dem Radarschirm repräsentiert das Blickfeld des Spielers auf dem darunterliegenden Bildschirm. Befindet sich der Gegner in diesem Bereich, so ist er auf dem Bildschirm gut anzupeilen. Weiterhin wird gleichzeitig GEGNER IM FEUERBEREICH im oberen linken Hinweisdisplay eingeblendet.","The upper, cone-shaped area on the radar screen represents the player's field of view on the screen below. If the opponent is within this area, they are easy to target on the screen. Furthermore, ENEMY IN FIRING RANGE is simultaneously displayed in the upper left information display.","locale conventions:

MQM annotations:"
387,5. Initialeneingabe bei Höchstergebnissen,Entering initials for high scores.,"locale conventions:

MQM annotations:
None"
388,"Überschreitet ein Spieler die Minimum-Punktzahl in der Tabelle der Höchstergebnisse, so kann ER oder SIE nach Spielende drei (3) persönliche Initialen in die Tabelle eingeben. Die Anweisung hierfür ist selbsterläuternd und kann in vier Sprachen eingeblendet werden. Zu beachten ist, dass mit dem Auslösen eines Selbsttests, dem Bätatigen des RESET-Knopfes auf dem Battlezone Analog Vector-Generator PCB oder einer Unterbrechung der Netzspannung, die Tabelle mit den Höchstergebnissen gelöscht wird. Beim Löschen (RESET) werden die zehn (10) höchsten Punktzahlen mit ihren Initialen erhalten und wieder auf dem Bildschirm eingeschrieben, um weitere Spieler herauszufordern. Jede Punktzahl , die über 100.000 liegt, wird zusätzlich mit einem Panzersymbol markiert, gefolgt von den Initialen des Spielers. Sollte ein Spieler seine pder ihre Initialen nicht innerhalb von 60 Sekunden eingeben, werden vom Computer auto-matisch Striche eingeschrieben. Hiernach wechselt das Gerät wieder in den Attraktions-Spielablauf. AUFBAUANORDNUNG","If a player exceeds the minimum score in the high score table, HE or SHE can enter three (3) personal initials into the table after the game. The instructions for this are self-explanatory and can be displayed in four languages. Please note that triggering a self-test, pressing the RESET button on the Battlezone Analog Vector Generator PCB, or interrupting the power supply will erase the high score table. When resetting (RESET), the ten (10) highest scores with their initials are retained and re-written to the screen to challenge other players. Any score exceeding 100,000 is additionally marked with a tank symbol, followed by the player's initials. If a player does not enter his or her initials within 60 seconds, the computer will automatically enter dashes. After this, the device will return to the attraction game sequence. ASSEMBLY INSTRUCTIONS","locale conventions:

MQM annotations:"
391,"Diese neuen Bauteile, sowie alle anderen Hauptbaugruppen dieses Gerätes sind auf der Abbildung 1 dargestellt. Wird eines dieser Neuteile im Handbuch erwähnt, so finden Sie dieses Zeichen. 2. Geräteinspektion","These new components, as well as all other main assemblies of this device, are shown in Figure 1. If one of these new parts is mentioned in the manual, you will find this symbol. 2. Device Inspection.","locale conventions:

MQM annotations:"
396,"Bitte nehmen Sie sich die Zeit und überprüfen Sie, ob Ihr System den Anforderungen entspricht, die auf der Packung aufgelistet sind. Mithilfe des DirectX-Diagnoseprogramms können Sie sich einen Überblick über Ihr System verschaffen, wenn Sie sich nicht sicher sind, ob Ihr PC den Anforderungen entspricht. Gehen Sie bitte folgendermaßen vor, um das DirectX-Diagnoseprogramm aufzurufen: Klicken Sie auf die Schaltfläche „Start“ und wählen Sie die Option „Ausführen“. Geben Sie in das Textfeld „dxdiag"" ein. Nun wird die Benutzeroberfläche des DirectX-Diagnoseprogramms angezeigt. Hier haben Sie Zugriff auf alle relevanten Systemdetails, inklusive Informationen über Grafik- und Soundkarte. Sie können unter anderem überprüfen, ob Grafik und Sound richtig funktionieren, indem Sie auf die entsprechenden Schaltflächen klicken, um DirectDraw, Direct3D und DirectSound zu testen. Hinweis: Falls Sie nicht über fortgeschrittene Computerkenntnisse verfügen, würden wir Ihnen davon abraten, irgeneine der Optionen im DirectX-Diagnoseprogramm zu ändern. Vor dem Starten des Spiels","Please take the time to check if your system meets the requirements listed on the packaging. You can use the DirectX Diagnostic Tool to get an overview of your system if you are unsure whether your PC meets the requirements. Please follow these steps to access the DirectX Diagnostic Tool: Click the ""Start"" button and select the ""Run"" option. Enter ""dxdiag"" in the text field. The DirectX Diagnostic Tool interface will now be displayed. Here you have access to all relevant system details, including information about the graphics and sound card. Among other things, you can check whether graphics and sound are working correctly by clicking on the corresponding buttons to test DirectDraw, Direct3D, and DirectSound. Note: If you do not have advanced computer skills, we would advise you not to change any of the options in the DirectX Diagnostic Tool.","locale conventions:

MQM annotations:"
397,"Es kann vorkommen, dass andere Programme die Systemressourcen in Beschlag nehmen, die das Spiel benötigt, um einwandfrei zu laufen. Nicht bei allen dieser Programme ist es offensichtlich, dass sie aktiv sind, und viele werden automatisch beim Hochfahren des Systems gestartet. Solche Programme, die ständig auf ihrem System aktiv sind, nennt man auch „Hintergrundanwendungen“. In manchen Fällen können sie die Ursache dafür sein, dass Ihr Programm hängt oder abstürzt. Deshalb empfehlen wir Ihnen, solche Hintergrundanwendungen zu beenden, bevor Sie das Spiel starten. - Wenn auf Ihrem System Antivirus- oder Crash Guard-Programme laufen, sollten Sie diese schließen oder deaktivieren, ehe Sie das Spiel starten. Suchen Sie dazu das Symbol des Programms in der Windows-Taskleiste. Rechtsklicken Sie das Symbol und wählen Sie die entsprechende Option („Deaktivieren“ „Schließen“, oder ähnliches). - Sobald Sie die Antivirus- und Crash Guard-Programme deaktiviert haben, sollten Sie auch allgemeine Hintergrundanwendungen beenden, da diese manchmal zu Problemen führen, wenn Sie ein PC-Spiel installieren oder ausführen. Mehr dazu können Sie im Abschnitt „Wie man alle unnötigen Hintergrundanwendungen beenden kann“ nachlesen. Das System aufräumen","It can happen that other programs hog the system resources that the game needs to run properly. Not all of these programs make it obvious that they are active, and many are started automatically when the system boots up. Such programs, which are constantly active on your system, are also called ""background applications."" In some cases, they can be the reason why your program hangs or crashes. Therefore, we recommend that you close such background applications before starting the game. - If you have antivirus or crash guard programs running on your system, you should close or disable them before starting the game. To do this, find the program's icon in the Windows taskbar. Right-click the icon and select the appropriate option (""Disable"", ""Close"", or similar). - Once you have deactivated the antivirus and crash guard programs, you should also close general background applications, as these can sometimes cause problems when you install or run a PC game. You can find out more in the section ""How to close all unnecessary background applications"". Clean up the system,","```
MQM annotations:
```"
406,"1. Halten Sie die Tasten STRG und ALT auf Ihrer Tastatur gedrückt und drücken Sie dann ENTF. Nun wird der Windows-Task-Manager angezeigt. 2. Um eine Hintergrundanwendung zu beenden, wechseln Sie zur Registerkarte „Anwendungen"", klicken Sie auf den entsprechenden Eintrag in der Taskliste und dann auf die Schaltfläche „Task beenden“. Bevor Sie die Hotline anrufen","1. Hold down the CTRL and ALT keys on your keyboard, and then press DEL. The Windows Task Manager will now appear. 2. To terminate a background application, switch to the ""Applications"" tab, click on the corresponding entry in the task list, and then click the ""End Task"" button.","locale conventions:

MQM annotations:"
415,"Die in diesem SERVICE MANUAL enthaltenen Angaben und Abbildungen entsprechen dem Stand zur Zeit der Drucklegung. ÄNDERUNGEN IM SINNE DES TECHNISCHEN FORTSCHRITTES VORBEHALTEN, JEDOCH KEINE NACHRÜSTPFLICHT! Bitte bei der Aufstellung beachten","The information and illustrations contained in this SERVICE MANUAL correspond to the status at the time of printing. WE RESERVE THE RIGHT TO MAKE CHANGES IN THE INTEREST OF TECHNICAL PROGRESS, HOWEVER, THERE IS NO OBLIGATION TO RETROFIT! Please observe the following during setup.","locale conventions:

MQM annotations:"
416,Transportschäden,Transportation damage,"locale conventions:

MQM annotations:"
417,"Soweit äußerliche Transportschäden erkennbar sind, müssen diese sofort beanstandet, auf einem Transportschein festgehalten und vom Anlieferer (Spediteur, Bundesbahn, etc.) bestätigt werden. Der Hersteller haftet nicht fur Transportschäden! Netzspannung","If external transport damage is apparent, it must be reported immediately, noted on a transport document, and confirmed by the deliverer (freight forwarder, German Federal Railway, etc.). The manufacturer is not liable for transport damage! Mains voltage.","```
MQM annotations:
```"
418,Das Gerät ist fur die auf dem Typenschild angegebene Netzspannung eingestellt. Für andere Netzspannungen müssen der Geräte-Transformator und der Monitor-Transformator umgeschaltet werden. Gemäß VDE-Vorschrift ist das Gerät mit Schutzleiteranschluss versehen und nur für trockene Räume bestimmt. Einwandfreies Arbeiten der Münzanlage bedingt waage- und lotrechtes Aufstellen des Gerätes. SERVICE TIPS,"The device is set for the mains voltage specified on the nameplate. For other mains voltages, the device transformer and the monitor transformer must be switched. According to VDE regulations, the device is equipped with a protective earth connection and is intended for dry rooms only. Proper functioning of the coin mechanism requires the device to be set up horizontally and vertically.","locale conventions:

MQM annotations:"
420,"Vor Reparatur Netzstecker ziehen! Bei Überwachung und Erprobung: Spannung führende Teile nicht berühren! Auch bei ausgeschaltetem Gerät kann der Monitor noch gefährliche Spannung führen. ACHTUNG,HOCHSPANNUNG! Am Anodenanschluss der Bildröhre liegen etwa 20000 Volt. Sicherungen nur durch solche mit gleichen Werten ersetzen! Eine durchgebrannte Sicherung signalisiert Überlastung eines Bauteiles. Wenn die Sicherung durch eine höherwertige ersetzt wird, kann ernsthafter Schaden verursacht werden. Bauteile nur durch Original-Ersatzteile ersetzen. Niemals gedruckte Schaltungen/Verbindungen bei eingeschaltetem Gerät entfernen. SERVICE MANUAL QIX","Disconnect the power plug before repair! During monitoring and testing: do not touch voltage-carrying parts! Even when the device is switched off, the monitor can still carry dangerous voltage. WARNING, HIGH VOLTAGE! Approximately 20,000 volts are present at the anode connection of the picture tube. Only replace fuses with ones of the same values! A blown fuse indicates an overload of a component. Replacing the fuse with a higher value can cause serious damage. Only replace components with original spare parts. Never remove printed circuits/connections when the device is switched on.","locale conventions:

MQM annotations:"
423,"Das QIX-Spiel ist in der Lage, sich selbst zu prüfen, es stellt Daten zur Verfügung und demonstriert, dass Schaltungen und Steuerungen einwandfrei arbeiten. Weitere Informationen siehe ""Service Programm"". Die Lautstärke kann am Lautstärkesteller (VOLUME) auf dem Data/Sound PC-Board vorgenommen werden.","The QIX game is able to test itself, provides data, and demonstrates that circuits and controls are working correctly. See ""Service Program"" for more information. The volume can be adjusted using the volume control (VOLUME) on the Data/Sound PC board.","locale conventions:

MQM annotations:
minor: style/readability - While grammatically correct, the sentence ""The QIX game is able to test itself, provides data, and demonstrates that circuits and controls are working correctly"" could be slightly improved for flow. No locale convention errors."
429,"Funktion: Rückstellung auf Fabrikeinstellung (bis Schriftzug grün), Aufzählung um 1 Schritt (wenn Schriftzug grün leuchtet) Programmier- u.Test Schalter: Down","Function: Factory reset (until the lettering turns green), Increment list by 1 step (when the lettering illuminates green) Programming and Test Switch: Down","locale conventions:

MQM annotations:
minor: no-error - No locale convention errors."
430,Funktion: Ruckzählung um 1 Schritt,Function: Backward counting by 1 step,"locale conventions:

MQM annotations:
minor: no-error - The translation is accurate and doesn't violate any locale conventions."
437,"""Schwierigkeit"": Schwierigkeitsgrad des Spielablaufes",Difficulty,"locale conventions:

MQM annotations:
no-error"
440,"bei ""1"" Tischgerät","""With '1' table device""","locale conventions:

MQM annotations:
Minor: NUMBER FORMAT/Punctuation - The number ""1"" should ideally be written as ""one"" or ""a"" depending on the context, rather than kept as a numeral. This is a stylistic choice depending on the context."
456,Schnelle Lieferung und gute Verarbeitung,Fast delivery and good workmanship.,"locale conventions:

MQM annotations:"
460,Leider zu groß für unter 1 Jahr,Unfortunately too big for under 1 year olds.,"```
locale conventions:

MQM annotations:
```"
463,"Ich habe mich hier durch die teils überschwänglichen Rezensionen wohl blenden lassen. Vorausschicken möchte ich, dass ich bereits 2 Rucksäcke von Lowepro im Einsatz habe. Einen sehr großen (zur Aufbewahrung der Ausrüstung) und einen ziemlich kleinen für die wichtigsten, alltäglichen Dinge, die man mal eben mitnimmt. Dadurch, dass ich mir gerade das Sigma 70-200 2.8 gekauft habe, ist der kleine Lowepro nun endgültig zu klein geworden und ich benötige Ersatz. Beim Prime Day habe ich diesen Rucksack für einen wirklich sehr erschwinglichen Preis (knapp 29 EUR) erworben und war eigentlich sehr froh über diesen Kauf, hatte ich mir doch viele der Rezensionen vorab durchgelesen. Als der Rucksack dann gestern kam, folgte die Ernüchterung: Der Rucksack ist für unter 30 EUR nicht schlecht, das kann man nicht sagen. Aber dass er (wie in vielen Rezensionen geschrieben) mit den namhaften Produkten, welche zu weit höheren Preisen verkauft werden, mithalten kann .... Leute, das stimmt einfach nicht! Ich hatte wirklich gehofft, dass es so ist, aber davon kann echt keine Rede sein. Die gepolsterten Wände sind wesentlich dünner und bieten nicht einen solchen Schutz, wie meine Lowepro. Ach die Trennungen innen, sind von einem anderen Kaliber, wesentlich labbriger. Insgesamt ist die Haptik dieses Rucksacks nicht mit der meinen Lowepro zu vergleichen. Auch die Reisverschlüsse und die Materialien der Fächer für das Kleinmaterial sind nicht gerade hochwertig. Daher habe ich für mich entschieden, dass der Rucksack zurück geht. Wenn ich mir eine Ausrüstung von vielen Tausend EUR anschaffe, dann muss ich leider auch das Geld für einen vernünftigen Rucksack in die Hand nehmen. Qualität hat hier anscheinend doch seinen Preis. Für jemanden, der nicht viel Geld ausgeben möchte, ist der Rucksack bestimmt eine gute Wahl, für mich jedoch nicht. Und es ist auch nicht so, dass mir die Entscheidung schwer gefallen ist. Als ich den Rucksack ausgepackt habe, wusste ich nach 2 Minuten, dass er zurück geht. Was mir gut gefallen hat, ist die Farbe innen. Hier findet man seine Sachen bestimmt sehr viel schneller, als mit einem grauen Innenleben. Für jemanden, der andere Ansprüche an einen Rucksack hat, ist der Rucksack bestimmt eine tolle Sache, meiner geht jedoch zurück.","I think I was blinded by the partly effusive reviews here. Let me preface this by saying that I already have 2 Lowepro backpacks in use. A very large one (for storing equipment) and a fairly small one for the most important, everyday things you just want to take with you. Because I just bought the Sigma 70-200 2.8, the small Lowepro has finally become too small and I need a replacement. On Prime Day, I purchased this backpack for a really very affordable price (just under 29 EUR) and was actually very happy with the purchase, having read many of the reviews beforehand. When the backpack arrived yesterday, I was disillusioned: For under 30 EUR, the backpack isn't bad, you can't say that. But to say that it can compete with the well-known products, which are sold at much higher prices (as written in many reviews).... Guys, that's simply not true! I really hoped that it would be, but that's not the case at all. The padded walls are much thinner and do not offer the same protection as my Lowepro. Also, the dividers inside are of a different caliber, much flimsier. Overall, the feel of this backpack cannot be compared to my Lowepro. The zippers and the materials of the compartments for the small items are not exactly high-quality either. Therefore, I have decided that the backpack will be returned. If I buy equipment for many thousands of EUR, then unfortunately I also have to spend the money on a decent backpack. Quality apparently does have its price here. For someone who doesn't want to spend a lot of money, the backpack is definitely a good choice, but not for me. And it's not like the decision was difficult. When I unpacked the backpack, I knew after 2 minutes that it was going back. What I liked was the color inside. You can definitely find your things much faster here than with a gray interior. For someone who has different demands on a backpack, the backpack is definitely a great thing, but mine is going back.","locale conventions:

MQM annotations:"
466,"Mensch zerstört alles, weiß nichts zu schätzen und lernt nicht dazu! Zuerst einmal: Sooo schlecht ist der Film jetzt nicht, wie viele schreiben. Klar, natürlich ist die Story total konstruiert, und immer wieder nach dem gleichen Schema F konzepiert. Wenn man den Anfang gesehen hat, weiß man wie das Ende ist. Und die Botschaft ist auch immer die gleiche: Mensch zerstört alles, und weiß nichts zu schätzen, und lernt nicht dazu! Und genau das ist es, was der Film uns sagen möchte! Wie oft hab ich bei dem Film nur gedacht ( und das obwohl ich weiß, das es nur nen Film ist, und die Tiere aus dem Computer stammen) : Oh mein Gott, die armen Tiere, da schießen einen oftmals schon die Tränen in den Augen. Von daher ist Jurassic World Das gefallene Königreich schon wirklich ordentlich gemacht. Es ist nur schade, das der Mensch die Botschaft hinter dem Film einfach nicht rafft, und das, obwohl es ein Mainstream Film ist. Wir zerstören konsequent, die Tier und die Umwelt und letztenendes unseren Planeten und uns dazu. Aus Hab und Profitgier, und aus Dummheit und Arroganz ! Empathie für die Umwelt und die Lebewesen :Fehlanzeige. 4 Sterne, weil der Film gut gemacht ist, aber leider immer nach dem gleichen Prinzip, sonst wären 5 Sterne drin gewesen. Trotzdem gut gemachtes PopcornKino.","Humans destroy everything, appreciate nothing, and learn nothing! First of all: the movie isn't *that* bad, as many write. Sure, the story is totally contrived and conceived according to the same old formula. Once you've seen the beginning, you know how it ends. And the message is always the same: Humans destroy everything and appreciate nothing and learn nothing! And that's exactly what the film wants to tell us! How often did I think during the movie (even though I know it's just a movie and the animals are from the computer): Oh my God, the poor animals, it often brings tears to your eyes. Therefore, Jurassic World: Fallen Kingdom is really well made. It's just a shame that humans simply don't get the message behind the film, even though it's a mainstream film. We consistently destroy animals, the environment and ultimately our planet and ourselves. Out of greed and profit, and out of stupidity and arrogance! Empathy for the environment and living beings: nonexistent. 4 stars, because the film is well made, but unfortunately always follows the same principle, otherwise it would have been 5 stars. Still, well-made popcorn cinema.","```
MQM annotations:
```"
480,"An paar stellen war die Farbe abgesplittert und wenn man nur drüber gegangen ist mit der Hand ging die Farbe gleich auch an manche stelle ab. Wir wollten sie kostenlos abholen lassen weil wir sie nicht mehr haben wollten , aber leider nur auf unsere Kosten . sie würden nur die beschädigte teile austauschen aber wie wenn beide kommode beschädigt war. Schlechter Service vom Hersteller Amazon hat das alles für uns erledigt und uns das Geld zurück überwiesen. Ein LOB an Amazon","In a couple of places, the paint was chipped, and even just running your hand over it would cause the paint to come off in some areas. We wanted to have them picked up for free because we didn't want them anymore, but unfortunately, that was only possible at our own expense. They would only replace the damaged parts, but how when both chests of drawers were damaged? Poor service from the manufacturer. Amazon took care of everything for us and refunded our money. A praise to Amazon.","locale conventions:

MQM annotations:
Critical: no-error
Major: no-error
Minor: no-error"
484,- Türen knallen durch Magnete (kann man vielleicht mit Gumminoppen ausgleichen) - manche unsaubere Stellen,- Doors slam shut due to magnets (can perhaps be compensated with rubber stoppers) - some unclean spots,"locale conventions:

MQM annotations:"
485,"- mitgelieferte Dübel sind viel zu klein und wackeln (hatte keine anderen und habe sie da auch kein Pokal im Haus war, mit Bastelkleber festgeklebt) - die Halterungen für den Einlegeboden wackeln etwas (habs mit etwas Papier umwickelt und ausgeglichen) Fazit: Wenn er nicht so gut aussehen würde und so gute Maße hätte, würde ich weniger Sterne geben, da man sich alles passend machen muss, um wirklich zufrieden zu sein. Außerdem finde Ich ihn dann dafür auch etwas zu teuer.","- The included dowels are much too small and wobbly (I didn't have any others and, since there was no goblet in the house, I glued them in place with craft glue) - the supports for the shelf wobble a bit (I wrapped a little paper around them and balanced it out). Conclusion: If it didn't look so good and have such good dimensions, I would give it fewer stars, because you have to make everything fit to be truly satisfied. Also, I think it's a bit too expensive for that.","locale conventions:

MQM annotations:"
486,Der Kaffee schmeckt mir....aber,I like the taste of the coffee...but,"locale conventions:

MQM annotations:
No locale convention errors found."
487,"...es gibt nur 3 Sterne. Der Geschmack ist subjektiv gut, meiner Meinung nach sind die Originalkapseln aber besser (aber auch wesentlich teurer). Insofern hätte ich 5* vergeben. Leider läuft der Kaffee nicht gleichmäßig durch (wenn überhaupt!). Auch der zusätzliche Plastikmüll (einzeln verpackt s.Foto) bedeutet für mich ein Stern Abzug. Ich hoffe der Hersteller ändert dies und kassiert bald volle Punktzahl.","...there are only 3 stars. The taste is subjectively good, but in my opinion the original capsules are better (but also significantly more expensive). In that respect, I would have given 5 stars. Unfortunately, the coffee doesn't flow through evenly (if at all!). Also, the additional plastic waste (individually wrapped, see photo) means a star deduction for me. I hope the manufacturer changes this and soon gets full marks.","locale conventions:

MQM annotations:"
491,"Ich habe vier Leuchtmittel im Haus durch diese Lampen ersetzt. Leider konnte ich nur vier ersetzen, denn die anderen beiden wurden ohne Fassung geliefert - stattdessen lacht mich an dieser Stelle eine Platine an... Es lag auch nichts im Karton. ""6 zahlen - 4 erhalten"" ist kein guter Deal. Bestimmt hätte Amazon das kulant und schnell geregelt, aber ich habe das erst nach der Rückgabefrist festgestellt. Somit sehe ich das zwar als meinen Fehler und lebe damit. Dennoch ist es kein gutes Indiz für die Qualität dieser Leuchtmittel - bisher der einzige Grund für zwei Sterne Abzug. Das Licht an sich ist super. Die Räume werden nun sehr hell und gleichmäßig ausgeleuchtet. Die Lichtfarbe geht eher in Richtung kaltweiß. Für Flur, Arbeitszimmer, Werkraum, Waschküche etc perfekt. Für Wohnräume würde ich persönlich zu wärmeren Licht greifen. Durchaus mit einer guten alten 100 Watt Birne vergleichbar. Das können andere Lampen allerdings auch und evtl bekomme ich dort auch intakte Exemplare entsprechend der Bestellung. Sollte meine Bewertung eine Hilfe sein, freue ich mich über eine positive Bewertung. Fragen versuche ich schnell zu beantworten.","I replaced four bulbs in my house with these lamps. Unfortunately, I could only replace four, because the other two were delivered without sockets - instead, a circuit board is staring at me... There was nothing else in the box either. ""Pay for 6 - get 4"" is not a good deal. Amazon would certainly have resolved this amicably and quickly, but I only noticed it after the return period had expired. So, I see it as my own fault and will live with it. Nevertheless, it's not a good indication of the quality of these bulbs - so far the only reason for deducting two stars. The light itself is great. The rooms are now very bright and evenly lit. The light color is more in the cool white direction. Perfect for hallways, offices, workshops, laundry rooms, etc. For living rooms, I personally would prefer warmer light. Definitely comparable to a good old 100 watt bulb. However, other lamps can do that too, and maybe I'll even get intact copies there according to the order. If my review is helpful, I would appreciate a positive rating. I will try to answer questions quickly.","locale conventions:

MQM annotations:"
492,Tolle,"Great, just provide the translation.","locale conventions:

MQM annotations:"
493,"Ich habe Gesten erhalten, und ich würde gerne meine erste Blick teilen. Ja positiv. Ich hab lange überlegt ob ich dieses Set bestelle, oder nicht. ** Das Material ist stabil und Es liegt gut In der Hand. **Die Utensilien haben alle am Griff ein Loch um sie aufhängen zu können ** Das weiche Silikon verkratzt teures Kochgeschirr und Töpfe nicht und ist insbesondere praktisch an Pfannen mit Beschichtung zu verwenden. **Sie sind hitzebeständig und können bis zu 440 ℉ verwendet werden. **Sie weiterleiten die Hitze auch nicht und damit können direkt angefasst werden. **Die Spülmaschine hinterlässt allerdings auf dem schwarzen Silikon manchmal Wasserflecken. Aber kurz nach wischen und sie sind weg. Schließlich Ich muss sagen, dass ich sehr überrascht bin und ich kann nur empfehlen","I received gestures, and I would like to share my first impression. Yes, positive. I thought long and hard about whether or not to order this set. **The material is sturdy and it feels good in the hand.** **The utensils all have a hole in the handle to hang them up.** **The soft silicone doesn't scratch expensive cookware and pots and is especially practical for use on pans with a coating.** **They are heat-resistant and can be used up to 440 ℉.** **They also don't conduct heat and can therefore be touched directly.** **However, the dishwasher sometimes leaves water spots on the black silicone. But a quick wipe and they are gone.** Finally, I must say that I am very surprised and I can only recommend it.","locale conventions:

MQM annotations:
minor: MEASUREMENT FORMAT/unit conversion - The source uses Celsius implicitly, while the target uses Fahrenheit. Converting to Celsius would be more appropriate for an international audience (or at least providing both)."
498,Starker Mäher mit schwachem Fangkorb,Powerful mower with a weak collection bag.,"locale conventions:

MQM annotations:"
