index,reference,zero_shot_translation,improved_agent_translation,single_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
407,"(PERSON2) <unverständlich/>, dass Sie Ihre Annehmlichkeitsbewertung verbessern können, indem Sie einfach eine phrasenbasierte Ausgabe anhängen, und die Aufmerksamkeit ist wie eine doppelte Diagonale, also ist die Aufmerksamkeit kein Problem, also glaube ich Ihnen, aber es ist überraschend, dass das nicht funktioniert hat.","(PERSON2) <unverständlich/> dass, was dir gefällt, deinen Annehmlichkeitsscore verbessern kann, indem du einfach phrasenbasierte Ausgabe hinzufügst, und die Aufmerksamkeit ist wie doppelt diagonal, die Aufmerksamkeit ist also kein Problem, also, ich glaube dir, aber es ist überraschend, dass es nicht funktioniert hat.","(PERSON2) <unverständlich/>, dass das, was dir gefällt, deinen Wohlfühlfaktor verbessern kann, indem du einfach phrasenbasierte Ausgaben hinzufügst, und die Aufmerksamkeit ist quasi doppelt diagonal, also, die Aufmerksamkeit ist kein Problem, also ich glaube dir, aber es ist überraschend, dass es nicht funktioniert hat.","(PERSON2) <unverständlich/> Dass das, was dir gefällt, deinen Annehmlichkeitsscore verbessern kann, indem du einfach phrasenbasierte Ausgaben hinzufügst, und die Aufmerksamkeit ist wie doppelt diagonal, also ist die Aufmerksamkeit kein Problem. Ich glaube dir zwar, aber es ist überraschend, dass es nicht funktioniert hat.",0.3948,0.4048,0.431,0.5921,0.603,0.5746,0.5826,0.6278,0.6213,0.7005,0.6661,0.6807
411,"(PERSON8) Ich habe es versucht, ich glaube mit zwei Token und ja, weil wir in der ersten Version vermuteten, dass das Token selbst auch tokenisiert sein könnte, also habe ich es mit einem anderen Token wiederholt, das nicht nur für diesen Zweck bestimmt ist, weil wir ein angelerntes Wörterbuch verwendeten, und dieses Wörterbuch enthielt keine Trennungs-Token. Also verwendete ich ein Token, von dem ich annahm, dass es nicht in mehrere Teile tokenisiert werden würde und so nur einmal erscheinen würde. Ich hatte keine Sicherheit, dass dieses Token nicht an anderen Stellen im Satz erscheinen könnte, und das ist die einzige Stelle, an der es erscheinen könnte. Es könnte also besser gemacht werden, ja, ich stimme zu.","(PERSON8) Ich habe versucht, ich schätze zwei Tokens und ja, weil wir in der ersten Version den Verdacht hatten, dass das Token selbst auch tokenisiert werden könnte. Also habe ich es mit einem anderen Token wiederholt, das nicht nur für diesen Zweck gedacht war, weil wir ein vortrainiertes Wörterbuch verwendet haben und dieses Wörterbuch keine Trennzeichen-Tokens enthielt. Also habe ich ein Token verwendet, von dem ich annahm, dass es nicht in mehrere Teile tokenisiert werden würde und es somit einmal vorkommen würde. Ich hatte keine Garantie, dass dieses Token nicht auch an anderen Stellen im Satz vorkommen könnte und dass dies der einzige Ort wäre, an dem es vorkommen könnte. Es könnte also besser gemacht werden, ja, da stimme ich zu.","(PERSON8) Ich habe, ich schätze, etwa zwei Token ausprobiert, und ja, weil wir in der ersten Version den Verdacht hatten, dass das Token selbst auch tokenisiert werden könnte. Also habe ich es mit einem anderen Token wiederholt, das nicht nur für diesen Zweck gedacht war, denn wir haben ein vortrainiertes Wörterbuch verwendet, das keine Trennzeichen-Token enthielt. Also habe ich ein Token verwendet, von dem ich annahm, dass es nicht in mehrere Teile tokenisiert würde und somit einmal vorkommen würde. Ich hatte keine Garantie, dass dieses Token nicht auch an anderen Stellen im Satz vorkommen könnte, und es hätte besser gelöst werden können, da stimme ich zu.","(PERSON8) Ich habe versucht, ich schätze zwei Token, und ja, weil wir in der ersten Version den Verdacht hatten, dass der Token selbst auch tokenisiert werden könnte. Also habe ich es mit einem anderen Token wiederholt, der nicht nur für diesen Zweck gedacht war, weil wir ein vortrainiertes Wörterbuch verwendet haben und dieses Wörterbuch keine Trennzeichen-Token enthielt. Also habe ich einen Token verwendet, von dem ich annahm, dass er nicht in mehrere Teile tokenisiert würde und somit einmal vorkommen würde. Ich hatte keine Garantie, dass dieser Token nicht auch an anderen Stellen im Satz vorkommen könnte und dass dies der einzige Ort wäre, an dem er vorkommen könnte. Es könnte also besser gemacht werden, ja, da stimme ich zu.",0.54,0.4503,0.4453,0.7447,0.605,0.6699,0.6284,0.6012,0.6286,0.7909,0.771,0.7825
413,"(PERSON1) Ich dachte, es bedeutet etwas {NS}","Ich dachte, es bedeutete etwas unter Verwendung von, ich weiß nicht, Mediator.","Ich dachte, es bedeutete etwas durch, ich weiß nicht, einen Mittelsmann.","Ich dachte, es hätte etwas mit, ich weiß nicht, welcher Art von Vermittler zu tun.",0.1619,0.174,0.134,0.6453,0.6541,0.4046,0.279,0.3185,0.3645,0.5178,0.4698,0.3994
417,"(PERSON2) Oh vielleicht ein anderer HTTP-Server. Ich weiß nicht, vielleicht brauchen wir dafür auch gar keinen schicken HTTP-Server.","(PERSON2) Oh, vielleicht ein anderer HTTP-Server. Ich weiß nicht, vielleicht brauchen wir dafür nicht mal einen ausgefallenen HTTP-Server.","(PERSON2) Oh, vielleicht ein anderer HTTP-Server. Ich weiß nicht, vielleicht brauchen wir dafür nicht mal einen speziellen HTTP-Server.","(PERSON2) Oh, vielleicht ein anderer HTTP-Server. Ich weiß nicht, vielleicht brauchen wir dafür nicht einmal einen ausgeklügelten HTTP-Server.",0.6426,0.6426,0.6426,0.7178,0.7178,0.7178,0.7972,0.822,0.7725,0.873,0.8907,0.8618
419,"(PERSON2) Ja, die einzige Anforderung ist, dass es mehrere Verbindungen gleichzeitig handhaben kann.","Ja, die einzige Anforderung ist, dass es mehr Verbindungen gleichzeitig verarbeiten kann.","Ja, die einzige Anforderung ist, dass es mehr gleichzeitige Verbindungen verarbeiten kann.","Ja, die einzige Anforderung ist, dass es eine größere Anzahl gleichzeitiger Verbindungen verarbeiten kann.",0.5231,0.4994,0.5005,0.7647,0.7504,0.7389,0.7652,0.7317,0.7464,0.8735,0.8729,0.8736
427,"(PERSON7) Ja, da ist noch was, vielleicht ist es keine gute Idee, diese beiden Läufe in einem Setup zu kombinieren. Ich denke, dass es wirklich besser ist, wenn Sie sie getrennt laufen lassen und die Ausgaben speichern. Also, Sie verwenden zuerst die Umgebung für die Geschwindigkeitsregelung und die Verarbeitung,","(PERSON7) Ja, also da ist noch etwas. Vielleicht ist es keine gute Idee, diese beiden Läufe zu einem Setup zu kombinieren. Ich denke, es ist tatsächlich besser, wenn man sie separat laufen lässt und die Ergebnisse speichert. Also, man nutzt zuerst die Umgebung für Tempomat und die Verarbeitung.","(PERSON7) Also, es gibt da noch etwas: Vielleicht ist es keine gute Idee, diese beiden Läufe in einem Setup zu kombinieren. Ich denke, es ist tatsächlich besser, wenn Sie sie separat laufen lassen und die Ergebnisse speichern. Nutzen Sie also zuerst die Umgebung für die Geschwindigkeitsregelanlage und die Verarbeitung.","(PERSON7) Ja, da ist noch etwas. Vielleicht ist es keine gute Idee, diese beiden Durchläufe zu einem Setup zusammenzufassen. Ich denke, es ist tatsächlich besser, sie separat auszuführen und die Ergebnisse zu speichern. Also, zuerst die Umgebung für Tempomat und die Verarbeitung nutzen.",0.4269,0.501,0.3898,0.6104,0.7517,0.5529,0.6779,0.7489,0.6419,0.8046,0.8337,0.7854
430,"(PERSON2) Ja, das ist das Einzige, was ich für positive Einschränkungen gemacht habe. Bei den negativen Einschränkungen habe ich bei der Dekodierung ein bisschen kompliziertere Dinge gemacht. Wie das Herausfiltern der Balken und das Ersetzen der Balken durch andere Balken. Und für Multi-Token-Einschränkungen und all solche Sachen. Aber bei den positiven Einschränkungen habe ich nur den Trainingsansatz mit, ja, diesen sehr einfachen Sachen verglichen. Einfach die Bewertungen in jedem Schritt auf dieselbe Weise geändert.","(PERSON2) Ja, das ist das Einzige, was ich für positive Constraints gemacht habe. Bei den negativen Constraints habe ich etwas komplizierteres beim Decodieren gemacht. So wie das Herausfiltern von Beams und das Ersetzen von Beams durch andere Beams. Und für so Multi-Token-Constraints und sowas. Aber für die positiven Constraints habe ich den Trainingsansatz nur mit ja, nur mit diesem sehr einfachen Zeug verglichen. Einfach die Scores in jedem Schritt auf die gleiche Weise modifizieren.","(PERSON2) Ja, das ist das Einzige, was ich für positive Constraints gemacht habe. So habe ich bei den negativen Constraints beim Decodieren etwas komplizierter vorgegangen, beispielsweise durch das Herausfiltern und Ersetzen von Beams. Dies wurde unter anderem für Multi-Token-Constraints verwendet. Aber für die positiven Constraints habe ich den Trainingsansatz nur mit ja, nur mit diesem sehr einfachen Zeug verglichen, wobei die Scores in jedem Schritt auf dieselbe Art und Weise modifiziert wurden.","(PERSON2) Ja, das ist das Einzige, was ich für positive Constraints gemacht habe. Bei den negativen Constraints habe ich beim Decodieren etwas komplizierteres gemacht, wie z. B. das Herausfiltern von Beams und das Ersetzen von Beams durch andere Beams, und für Multi-Token-Constraints und ähnliches. Aber für die positiven Constraints habe ich den Trainingsansatz nur mit diesem sehr einfachen Ansatz verglichen: die Scores in jedem Schritt auf die gleiche Weise zu modifizieren.",0.349,0.2857,0.3084,0.5971,0.4671,0.5354,0.5334,0.5675,0.5852,0.692,0.683,0.7298
432,"(PERSON2) Ja, ich warte gerade auf die Neubearbeitung des Datensatzes von ([PERSON9]). Auch [PERSON9], ich habe mir den (Code) angesehen, und ich denke, ich weiß, warum es so langsam ist. Weil für jeden Eintrag in der Terminologie bei der (Europar-)Neubearbeitung der Datensatz geöffnet, tokenisiert, Zeile für Zeile gelesen, zeilenweise tokenisiert und dann geschlossen wird. Aber Sie machen nur, Sie machen das –","(PERSON2) Ja, im Moment warte ich quasi auf die Datenneubearbeitung von ([PERSON9]). Und [PERSON9], ich habe mir den (Code) angesehen, und ich glaube, ich weiß, warum er so langsam ist. Denn für jeden Eintrag in der Terminologie bei der (Europar) Neubearbeitung öffnest du das Datenset, tokenisierst es, liest es Zeile für Zeile, tokenisierst es Zeile für Zeile und schließt es dann. Aber das tust du nur...","(PERSON2) Ja, ich warte im Moment quasi auf die Datenneubearbeitung von ([PERSON9]). Und ich habe mir den code von [PERSON9] angesehen und glaube, ich weiß, warum er so langsam ist: Denn für jeden Eintrag in der Terminologie der (Europarl) Neubearbeitung wird das Datenset geöffnet, tokenisiert, Zeile für Zeile gelesen, wieder tokenisiert und dann geschlossen, aber das tun Sie nur…","(PERSON2) Ja, im Moment warte ich gerade auf die Datenneubearbeitung von ([PERSON9]). Und [PERSON9], ich habe mir den (Code) angesehen, und ich glaube, ich weiß, warum er so langsam ist. Denn für jeden Eintrag in der Terminologie bei der (Europar) Neubearbeitung öffnest du das Datenset, tokenisierst es, liest es Zeile für Zeile, tokenisierst es Zeile für Zeile und schließt es dann. Aber das tust du nur...",0.4531,0.4135,0.4608,0.5889,0.5639,0.6067,0.6667,0.6155,0.671,0.7464,0.7576,0.7529
439,"(PERSON6) Ich hoffe, da war nichts für mich dabei?","Ich hoffe, es war nichts für mich?","Ich hoffe, es war nichts für mich dabei?","Ich hoffe, es gab nichts für mich?",0.2862,0.4875,0.133,0.55,0.7773,0.4261,0.7702,0.8158,0.7531,0.8492,0.8916,0.8232
447,"(PERSON2) Ja, weil, gut, seine Prüfungen sind im Allgemeinen ziemlich einfach.","(PERSON2) Ja, weil im Allgemeinen seine Prüfungen eher einfach sind.","(PERSON2) Ja, weil seine Prüfungen im Allgemeinen ziemlich einfach sind.","(PERSON2) Ja, denn im Allgemeinen sind seine Prüfungen eher einfach.",0.3727,0.4808,0.3072,0.5161,0.6169,0.6444,0.7812,0.8304,0.8138,0.8868,0.9027,0.8725
454,"(PERSON7) Ja, aber ich spreche nicht unbedingt Deutsch <lachen/>.","Ja, aber ich spreche nicht unbedingt Deutsch <lacht/>.","Ja, aber ich spreche nicht unbedingt Deutsch <laugh/>.","Ja, aber ich spreche nicht unbedingt Deutsch <Lachen/>.",0.599,0.599,0.599,0.7854,0.7854,0.898,0.8103,0.7269,0.7969,0.9032,0.9018,0.9205
460,"Also, ich sehe diese Messe als eine wichtige mögliche Quelle für nicht-native englische Sprache, die wir nutzen können, um den Testdatensatz zu erweitern. Ich denke also, wir sollten uns wirklich auf den Wettbewerb mit der klarsten Stimme konzentrieren, und wir können den Stand machen, wenn wir müssen. Aber ich würde das gern begrenzen, weil die Verbreitung an Gymnasiasten für uns keine große Rolle spielt. Es ist wichtiger, es als Testlauf zu nutzen. Wir sollten uns also, [PERSON1], auf die [PROJEKT2] klarste Stimme konzentrieren und die Organisatoren zufrieden stellen, damit wir dort die Datensammlung durchführen können. Und wir sollten im Gegenzug alles tun, was sie von uns verlangen, und wir müssen ihr vollständiges Programm prüfen und sehen, welche Art von Untertitelung für dieses vollständige Programm nützlich wäre. Das würde es zu einem Testlauf für uns machen, und bezüglich unserer eigenen Anwesenheit auf der Messe denke ich, dass das nicht so wichtig ist. Wenn wir also gefragt werden, wenn von uns wirklich erwartet wird, dass wir anwesend sind, dann ok, aber falls nicht, dann denke ich ist es auf jeden Fall gut für uns, einfach hinter dem Vorhang und hinter den Kulissen zu sein und unsere Arbeit dort zu erledigen.","Also, ich sehe diese Messe als eine wichtige mögliche Quelle für nicht-muttersprachliches Englisch, die wir nutzen können, um den Testdatensatz zu erweitern. Daher denke ich, wir sollten uns wirklich auf den ""Clearest Voice""-Wettbewerb konzentrieren, und wir können den Stand machen, wenn es sein muss. Aber ich würde das gerne begrenzen, weil die Verbreitung an Gymnasiasten für uns einen geringeren Einfluss hat. Es ist wichtiger, sie als Testsitzung zu nutzen. Also sollten wir uns, [PERSON1], auf die [PROJECT2] ""Clearest Voice"" konzentrieren und die Organisatoren zufriedenstellen, damit wir dort die Datenerfassung durchführen können. Und alles tun, was sie im Gegenzug von uns wollen, und wir müssen ihr Plenarprogramm überprüfen und welche Art von Untertitelung für dieses Plenarprogramm nützlich wäre. Das würde es zu einer Testsitzung für uns machen, und was unsere eigene Präsenz auf dieser Messe betrifft, halte ich sie nicht für allzu wichtig. Wenn wir also gefragt werden, wenn wirklich erwartet wird, dass wir dort sind und uns präsentieren, dann ist das in Ordnung, aber wenn nicht, dann denke ich, ist es definitiv gut für uns, einfach hinter dem Vorhang und hinter den Kulissen zu sein und dort unsere Arbeit zu machen.","Also, ich sehe diese Messe als eine wichtige mögliche Quelle für nicht-muttersprachliches Englisch, die wir nutzen können, um den Testdatensatz zu erweitern. Daher denke ich, wir sollten uns wirklich auf den Wettbewerb ""Clearest voice"" konzentrieren, und wir können den Stand machen, wenn es sein muss. Aber ich würde das gerne begrenzen, weil die Verbreitung an Gymnasiasten für uns einen geringeren Einfluss hat und es wichtiger ist, sie als Testsitzung zu nutzen. Also sollten wir uns, [PERSON1], auf [PROJECT2] Clearest voice konzentrieren und die Organisatoren zufriedenstellen, damit wir dort die Datenerfassung durchführen können. Wir sollten alles tun, was sie im Gegenzug von uns wollen, ihr Plenarprogramm überprüfen und herausfinden, welche Art von Untertitelung für dieses Plenarprogramm nützlich wäre, um es als Testsitzung für uns zu gestalten. Was unsere eigene Präsenz auf dieser Messe betrifft, halte ich sie nicht für allzu wichtig. Wenn wir also gefragt werden und man wirklich erwartet, dass wir dort sind und uns präsentieren, dann ist das in Ordnung. Wenn nicht, dann denke ich, ist es definitiv besser, wenn wir einfach hinter dem Vorhang und hinter den Kulissen unsere Arbeit machen.","Ich sehe diese Messe als eine wichtige potenzielle Quelle für nicht-muttersprachliches Englisch, die wir nutzen können, um den Testdatensatz zu erweitern. Daher denke ich, wir sollten uns wirklich auf den Wettbewerb ""Clearest Voice"" konzentrieren, und wir können den Stand machen, wenn es sein muss. Aber ich würde das gerne begrenzen, weil die Verbreitung an Gymnasiasten für uns einen geringeren Einfluss hat. Es ist wichtiger, die Messe als Testsitzung zu nutzen. Also sollten wir uns, [PERSON1], auf [PROJECT2] ""Clearest Voice"" konzentrieren und die Organisatoren zufriedenstellen, damit wir dort die Datenerfassung durchführen können. Und alles tun, was sie im Gegenzug von uns wollen, und wir müssen ihr Plenarprogramm überprüfen und welche Art von Untertitelung für dieses Plenarprogramm nützlich wäre, damit es für uns eine Testsitzung wird. Was unsere eigene Präsenz auf dieser Messe betrifft, halte ich sie nicht für allzu wichtig. Wenn wir also gefragt werden, wenn wirklich erwartet wird, dass wir dort sind und uns präsentieren, dann ist das in Ordnung, aber wenn nicht, dann denke ich, ist es definitiv besser für uns, im Hintergrund zu agieren und dort unsere Arbeit zu machen.",0.5214,0.4216,0.4115,0.6673,0.5535,0.4992,0.5801,0.6029,0.5394,0.8231,0.829,0.8207
461,"(PERSON1) Ja, ich habe noch nicht versucht, mich dafür zu registrieren, aber ich denke, dass es beim letzten Mal erforderlich war, einen Stand zu haben.","(PERSON1) Ja, ich habe mich noch nicht darum gekümmert, mich dafür anzumelden, aber ich glaube, dass es letztes Mal Pflicht war, einen Stand zu haben.","(PERSON1) Ja, ich habe mich dafür noch nicht angemeldet, aber ich glaube, dass es letztes Mal Pflicht war, einen Stand zu haben.","(PERSON1) Ja, ich habe mich noch nicht dafür angemeldet, aber ich glaube, dass es letztes Mal Pflicht war, einen Stand zu haben.",0.4782,0.4571,0.4506,0.6988,0.7073,0.6968,0.7823,0.7732,0.772,0.848,0.8524,0.8531
464,"Zweimal Müll hintereinander :( Ich habe von dieser Firma bestellt, weil ich in den letzten Saisons bei ihr bestellt habe und alles super funktioniert hat. Diese Saison habe ich die nächste Größe gekauft, die ich brauchte. Einer der Schlafanzüge, die ich erhalten habe, hatte ein Loch am Fuß. Ich habe ihn zurückgeschickt und die Firma hat mir einen neuen geschickt. Den Ersatz hat mein Sohn einmal angezogen, dann habe ich ihn wie immer in die Waschmaschine getan und der Reißverschluss ist abgegangen! Ich bin sehr enttäuscht, weil ich keine Zeit habe, mich alle paar Tage mit Retouren zu beschäftigen, aber genau das muss ich jetzt tun.","Zwei faule Zitronen hintereinander :( Ich habe bei dieser Firma bestellt, weil ich dort schon in früheren Saisons gekauft habe und es super für uns funktioniert hat. Diese Saison habe ich die nächste Größe bestellt, die ich brauchte. Einer der Pyjamas, die ich erhielt, hatte ein Loch am Fuß. Ich habe ihn zurückgeschickt und die Firma hat mir einen neuen geschickt. Den Ersatzpyjama hat mein Sohn einmal getragen, ich habe ihn wie immer in meine Waschmaschine gesteckt und der Reißverschluss ist abgebrochen! Ich bin so enttäuscht, weil ich keine Zeit habe, mich alle paar Tage mit Rücksendungen herumzuschlagen, und genau das passiert gerade.","Zwei Fehlkäufe hintereinander :( Ich habe bei dieser Firma bestellt, weil ich dort schon in früheren Saisons gekauft habe und es super für uns funktioniert hat; diese Saison habe ich die nächste Größe bestellt, die ich brauchte. Einer der Pyjamas, die ich erhielt, hatte ein Loch am Fuß; ich habe ihn zurückgeschickt und die Firma hat mir einen neuen geschickt. Den Ersatzpyjama hat mein Sohn einmal getragen, ich habe ihn wie immer in der Waschmaschine gewaschen und der Reißverschluss ist abgebrochen! Ich bin so enttäuscht, weil ich keine Zeit habe, mich alle paar Tage mit Rücksendungen herumzuschlagen, und genau das passiert gerade.","Zwei schlechte Erfahrungen hintereinander :( Ich habe bei dieser Firma bestellt, weil ich dort schon in früheren Saisons gekauft habe und es super für uns funktioniert hat. Diese Saison habe ich die nächste Größe bestellt, die ich brauchte. Einer der Pyjamas, die ich erhielt, hatte ein Loch am Fuß. Ich habe ihn zurückgeschickt und die Firma hat mir einen neuen geschickt. Den Ersatzpyjama hat mein Sohn einmal getragen, ich habe ihn wie immer in meine Waschmaschine gesteckt und der Reißverschluss ist abgebrochen! Ich bin so enttäuscht, weil ich keine Zeit habe, mich alle paar Tage mit Rücksendungen herumzuschlagen, und genau das passiert gerade.",0.5494,0.4871,0.5494,0.6989,0.67,0.6989,0.4535,0.6254,0.6005,0.8254,0.8351,0.8426
466,"Dies ist ein einfacher Daunenmantel. Wenn du einen einfachen Mantel suchst, wird dieser Mantel deine Erwartungen erfüllen. Der Mantel kam in einer Vakuumverpackung, sodass man ihn ein paar Tage aufhängen muss, damit die Falten herauskommen und er sich ein wenig „aufbläht“. Ich bin 5 Fuß 6 Zoll groß und der Mantel geht mir bis an die Knie. Ich habe aufgrund anderer Kommentare und früherer Erfahrungen 2 Größen größer bestellt und der Mantel ist wohl ein wenig größer als nötig. Mit einem dickeren Pullover oder Sweatshirt sollte das aber kein Problem sein. Es gibt keine Bündchen an den Ärmeln, also werde ich diese wahrscheinlich später hinzufügen. Die Kapuze funktioniert, hat aber kein Zugband. Der Reißverschluss vorne funktioniert. Es gibt keine Belüftungsöffnungen an der Seite oder hinten für zusätzliche Bewegungsfreiheit, aber mit der größeren Größe sollte ich genug Platz haben. Es gibt zwei Taschen auf Hüfthöhe (das kann bei dir höher oder niedriger sein). Es gibt keine Verzierungen oder Details – es ist ein EINFACHER MANTEL. Für den Preis ist er meiner Meinung nach in Ordnung. Ich habe ihn an einem windigen Tag getragen, an dem es aber nicht kalt war. Ich konnte den Wind nicht spüren, das ist denke ich ein gutes Zeichen. Ich bin jedoch gespannt, wie er sich bei kälteren Temperaturen und im Regen bzw. Schnee verhält (er soll wasserfest sein). Insgesamt bin ich zufrieden. Die Vakuumverpackung kann wiederverwendet werden und der Verkäufer hat ein wirklich süßes Dankschreiben beigelegt, was eine nette Geste war.","Dies ist eine einfache Steppjacke. Wenn Sie eine schlichte Jacke suchen, wird diese Jacke Ihre Erwartungen erfüllen. Die Jacke wurde vakuumverpackt geliefert, daher muss sie ein paar Tage aufgehängt werden, damit die Falten herauskommen und sie sich etwas ""aufbauschen"" kann. Ich bin 1,68 m groß und die Jacke reicht mir bis zum Knie. Ich habe sie aufgrund anderer Kommentare und früherer Erfahrungen 2+ Größen größer bestellt, und die Jacke ist wahrscheinlich etwas größer als nötig. Mit einem dickeren Pullover oder Sweatshirt sollte es aber in Ordnung sein. An den Ärmeln sind keine Bündchen, daher werde ich diese wahrscheinlich später hinzufügen. Die Kapuze funktioniert, hat aber keine Kordeln. Der vordere Reißverschluss funktioniert. Es gibt keine Schlitze an der Seite oder am Rücken für mehr Bewegungsfreiheit, aber mit der größeren Größe sollte ich genügend Platz haben. Es gibt zwei Taschen auf Taillenhöhe (könnten bei Ihnen höher oder tiefer sitzen). Es gibt keine Verzierungen oder Styling-Details - es ist eine EINFACHE JACKE. Für den Preis finde ich sie in Ordnung. Ich habe sie an einem windigen Tag getragen, aber nicht an einem kalten. Ich konnte den Wind nicht spüren, daher denke ich, das ist ein gutes Zeichen. Ich bin jedoch gespannt, wie sie sich bei kälteren Temperaturen und bei Regen/Schnee verhält (soll resistent sein). Insgesamt bin ich zufrieden. Der Vakuumbeutel kann wiederverwendet werden und der Verkäufer hat eine wirklich nette Dankeskarte beigelegt, was eine tolle Geste war.","Dies ist eine einfache Pufferjacke. Wenn Sie eine schlichte Jacke suchen, wird diese Ihre Erwartungen erfüllen. Die Jacke wurde vakuumverpackt geliefert und sollte daher ein paar Tage aufgehängt werden, damit sich die Falten glätten und sie sich etwas aufbauschen kann. Ich bin 1,68 m groß und die Jacke reicht mir bis zum Knie. Aufgrund anderer Kommentare und meiner bisherigen Erfahrung habe ich sie zwei Nummern größer bestellt, wodurch sie etwas weiter ausfällt als nötig, aber mit einem dickeren Pullover oder Sweatshirt, sollte sie gut passen. An den Ärmeln fehlen Bündchen, die ich eventuell noch anbringen werde. Die Kapuze ist funktional, hat aber keine Kordel. Der vordere Reißverschluss funktioniert einwandfrei. Für mehr Bewegungsfreiheit gibt es keine Schlitze an den Seiten oder am Rücken, aber dank der größeren Größe habe ich ausreichend Platz. Es gibt zwei Taschen auf Taillenhöhe (diese können je nach Körperbau höher oder tiefer sitzen). Es gibt keine Verzierungen oder besonderen Details – es ist eine EINFACHE JACKE. Für den Preis finde ich sie angemessen. Ich habe sie an einem windigen, aber nicht kalten Tag getragen und keinen Wind gespürt, was ich als gutes Zeichen werte. Ich bin gespannt, wie sie sich bei kälteren Temperaturen und bei Regen oder Schnee (angeblich resistent) bewährt. Insgesamt bin ich zufrieden. Der Vakuumbeutel ist wiederverwendbar, und der Verkäufer hat eine sehr nette Dankeskarte beigelegt, eine nette Aufmerksamkeit.","Dies ist eine einfache Steppjacke. Wenn Sie eine schlichte Jacke suchen, wird diese Jacke Ihre Erwartungen erfüllen. Die Jacke wurde vakuumverpackt geliefert, daher muss sie ein paar Tage aufgehängt werden, damit die Falten herauskommen und sie sich etwas ""aufbauschen"" kann. Ich bin 1,68 m groß und die Jacke reicht mir bis zum Knie. Ich habe sie aufgrund anderer Kommentare und früherer Erfahrungen 2+ Größen größer bestellt, und die Jacke ist wahrscheinlich etwas größer als nötig, aber mit einem dickeren Pullover oder Sweatshirt sollte sie passen. An den Ärmeln sind keine Bündchen, daher werde ich diese wahrscheinlich später hinzufügen. Die Kapuze funktioniert, hat aber keine Kordeln. Der vordere Reißverschluss funktioniert. Es gibt keine Schlitze an der Seite oder am Rücken für mehr Bewegungsfreiheit, aber mit der größeren Größe sollte ich genügend Platz haben. Es gibt zwei Taschen auf Taillenhöhe (könnten bei Ihnen höher oder tiefer sitzen). Es gibt keine Verzierungen oder Styling-Details – es ist eine EINFACHE JACKE. Für den Preis finde ich sie in Ordnung. Ich habe sie an einem windigen, aber nicht kalten Tag getragen. Ich konnte den Wind nicht spüren, daher denke ich, das ist ein gutes Zeichen. Ich bin jedoch gespannt, wie sie sich bei kälteren Temperaturen und bei Regen/Schnee verhält (angeblich ist sie resistent). Insgesamt bin ich zufrieden. Der Vakuumbeutel ist wiederverwendbar und der Verkäufer hat eine wirklich nette Dankeskarte beigelegt, was eine tolle Geste war.",0.4256,0.1903,0.3846,0.6333,0.4123,0.5936,0.628,0.6179,0.6116,0.8393,0.8501,0.8443
471,Guter Preis für ein Ersatzteil,Guter Preis für Ersatz.,Guter Preis für ein Ersatzteil.,Guter Preis für ein Ersatzteil.,0.2659,0.7598,0.7598,0.6009,0.7938,0.7938,0.8634,1.0003,1.0003,0.9207,0.9727,0.9727
