index,source,zero_shot,single_agent,maats,reference
137,"1 请勿以任何理由拆开.维修或改装耳机, 否则可能会导致起火甚至彻底损坏本产品;","1. Please do not disassemble, repair, or modify the headphones for any reason, as this may cause a fire or even completely damage the product.","1. Please do not disassemble, repair, or modify the headphones for any reason, as this may cause a fire or even completely damage the product.","Please do not disassemble, repair, or modify the headphones, as this may cause a fire or even completely damage the product for any reason.","Do not alter or remove the headset, it may cause fire or damage."
138,"4 请勿在雷暴天气下使用该设备, 雷暴可导致设备工作异常, 并增加触电的危险;","4. Please do not use this device during thunderstorms, as thunderstorms can cause the device to malfunction and increase the risk of electric shock.","4. Please do not use this device during thunderstorms, as thunderstorms can cause the device to malfunction and increase the risk of electric shock.",4. Please do not use this device during thunderstorms; they can cause the device to malfunction and increase the risk of electric shock.,4 Avoid using the device during thunderstorms as they may result in irregular device operation and raise the danger of electric shock;
139,6 请勿将本产品与液体接触。,6. Please do not expose this product to liquids.,6. Please do not expose this product to liquids.,6. Please avoid contact with liquids for this product.,6 Don't let liquids touch this product.
140,注意,Attention,Note,Please pay attention.,Note:
141,"3 长时间连续使用耳机有损听力,请合理控制使用时间及音量 ;","Prolonged use of headphones can damage hearing, so please reasonably control the usage time and volume.","Prolonged use of headphones can damage hearing, so please control the usage time and volume reasonably.","Prolonged continuous use of headphones can damage hearing, so please manage your usage time and volume sensibly.",3 Please limit the amount of time and volume that you wear headphones to avoid damaging your hearing;
142,"2 自您签收次日起 8 日-15日内, 本产品出现《Redmi AirDots 2 ee E 故障表》所列性能故障的情况, 经由小米售后服务中心检测确 定, 可","From the 8th to the 15th day after you sign for the product, if the product exhibits any performance issues listed in the ""Redmi AirDots 2 ee E Fault Table,"" and these issues are confirmed by a Xiaomi after-sales service center, you may...","Between the 8th and 15th day after you receive the product, if the product exhibits any performance issues listed in the ""Redmi AirDots 2 ee E Fault Table,"" and these issues are confirmed by a Xiaomi after-sales service center, you may be eligible for a replacement or repair.","From the day after you sign for the product, if within the 8th to 15th day the product exhibits any performance issues listed in the ""Redmi AirDots 2 Fault Table,"" and these issues are confirmed by a Xiaomi after-sales service center, then...","2 If there is a performance issue within 8-15 days of receipt noted in the ""Redmi AirDots 2 EE Fault List,"" Xiaomi's after-sales service center will confirm and fix the problem"
143,电牙耳机 ”2 通话过程中，对方听不到声音。,"Bluetooth headset 2: During a call, the other party cannot hear any sound.","Wireless headset issue 2: During a call, the other party cannot hear any audio.","Electric earphone 2: During a call, the other party cannot hear any sound.","mouthpiece headset ""2 The other party on a call is unable to hear the sound."
144,2 已超过三包有效期;,2. Has exceeded the warranty period.,2. Has exceeded the validity period of the three guarantees.,2. Has exceeded the Three Guarantees period.,2 Has outlived the three promises' periods of validity;
145,欧盟峰会为难民政策争论，欧盟官员：接收过程步步瓶颈-中新网,"EU Summit Debates Refugee Policy, EU Official: Reception Process Faces Bottlenecks - China News Service","EU Summit Debates Refugee Policy, EU Official: Reception Process Faces Bottlenecks - China News Service","EU Summit Struggles with Refugee Policy, EU Official: Reception Process Faces Ongoing Bottlenecks","EU faces admission obstacles in refugee policy talks, says Chinanews com"
146,欧盟峰会为难民政策争吵不休，欧盟官员：接收过程每一步都存在瓶颈,"EU summit embroiled in disputes over refugee policy, EU official: There are bottlenecks at every step of the reception process.","EU summit embroiled in disputes over refugee policy, EU official: There are bottlenecks at every step of the reception process.","EU summit engaged in disputes over refugee policy, EU official: Bottlenecks occur at every stage of the refugee reception process.",Conflicts over refugee policy at the EU summit amongst EU officials; obstacles at every stage of the admission process
147,据报道，欧盟此举是对欧洲日益增长的非法移民问题关注的回应，如今，欧盟的核心问题在于，最终能被遣返的非法移民人数很少。,"According to reports, this move by the EU is a response to the growing issue of illegal immigration in Europe. Currently, the core issue for the EU is that only a small number of illegal immigrants can ultimately be deported.","According to reports, this move by the EU is a response to the growing issue of illegal immigration in Europe. Currently, the core issue for the EU is that the number of illegal immigrants who can ultimately be deported is very small.","According to reports, this move by the EU is a response to the growing issue of illegal immigration in Europe. Currently, the core issue for the EU is that only a small number of illegal immigrants are ultimately deported.","The EU's action, according to reports, is a reaction to growing worries over illegal immigration in Europe, which is now the main cause of the EU's poor deportation rate of illegal immigrants."
148,冯德莱恩一再表示，欧盟资金不会支付相关费用。,Von der Leyen has repeatedly stated that EU funds will not cover the related costs.,Von der Leyen has repeatedly stated that EU funds will not cover the related costs.,Von der Leyen has repeatedly stated that EU funds will not cover the associated costs.,"The expenditures will not be covered by EU funding, according to Von der Leyen."
149,据欧盟委员会估计，欧盟的申根国家去年收到超92万份庇护申请，比前一年增加近半。,"According to estimates by the European Commission, the Schengen countries of the European Union received over 920,000 asylum applications last year, an increase of nearly half compared to the previous year.","According to estimates by the European Commission, the Schengen countries of the European Union received over 920,000 asylum applications last year, an increase of nearly half compared to the previous year.","According to estimates by the European Commission, the Schengen countries of the European Union received over 920,000 asylum applications last year; an increase of nearly 50% from the previous year.","According to estimates from the European Commission, the Schengen member states of the EU received more than 920,000 asylum claims in 2017—a nearly 50% rise from the year before."
